trade_date,ticker,leg,side,quantity,price,notional_jpy,cost_bps,cost_jpy
2025-10-15,1618.T,entry,buy,6.085192697768763,24650.0,150000.0,10.0,150.0
2025-10-15,1618.T,exit,sell,6.085192697768763,24890.0,151460.4462474645,10.0,151.46044624746452
2025-10-15,1622.T,entry,buy,4.612546125461255,32520.0,150000.0,10.0,150.0
2025-10-15,1622.T,exit,sell,4.612546125461255,32590.0,150322.8782287823,10.0,150.32287822878232
2025-10-15,1625.T,entry,buy,3.3662477558348294,44560.0,150000.0,10.0,150.0
2025-10-15,1625.T,exit,sell,3.3662477558348294,45550.0,153332.58527827647,10.0,153.33258527827647
2025-10-15,1629.T,entry,buy,1.488833746898263,100750.0,150000.0,10.0,150.0
2025-10-15,1629.T,exit,sell,1.488833746898263,101450.0,151042.1836228288,10.0,151.0421836228288
2025-10-15,1631.T,entry,buy,6.269592476489028,23925.0,150000.0,10.0,150.0
2025-10-15,1631.T,exit,sell,6.269592476489028,24200.0,151724.1379310345,10.0,151.72413793103448
