trade_date,ticker,leg,side,quantity,price,notional_jpy,cost_bps,cost_jpy
2025-10-09,1617.T,entry,buy,3.766005523474768,39830.0,150000.0,10.0,150.0
2025-10-09,1617.T,exit,sell,3.766005523474768,39740.0,149661.05950288728,10.0,149.66105950288727
2025-10-09,1621.T,entry,buy,5.404431633939831,27755.0,150000.0,10.0,150.0
2025-10-09,1621.T,exit,sell,5.404431633939831,28065.0,151675.37380652135,10.0,151.67537380652135
2025-10-09,1627.T,entry,buy,14.47178002894356,10365.0,150000.0,10.0,150.0
2025-10-09,1627.T,exit,sell,14.47178002894356,10420.0,150795.9479015919,10.0,150.7959479015919
2025-10-09,1630.T,entry,buy,4.428697962798937,33870.0,150000.0,10.0,150.0
2025-10-09,1630.T,exit,sell,4.428697962798937,33690.0,149202.8343666962,10.0,149.20283436669618
2025-10-09,1633.T,entry,buy,3.088962108731466,48560.0,150000.0,10.0,150.0
2025-10-09,1633.T,exit,sell,3.088962108731466,48540.0,149938.22075782536,10.0,149.93822075782535
