trade_date,ticker,leg,side,quantity,price,notional_jpy,cost_bps,cost_jpy
2025-11-11,1618.T,entry,buy,5.483458234326449,27355.0,150000.0,10.0,150.0
2025-11-11,1618.T,exit,sell,5.483458234326449,26955.0,147806.61670626941,10.0,147.8066167062694
2025-11-11,1625.T,entry,buy,3.0254134731746674,49580.0,150000.0,10.0,150.0
2025-11-11,1625.T,exit,sell,3.0254134731746674,49270.0,149062.12182331586,10.0,149.06212182331586
2025-11-11,1628.T,entry,buy,7.352941176470588,20400.0,150000.0,10.0,150.0
2025-11-11,1628.T,exit,sell,7.352941176470588,20195.0,148492.64705882352,10.0,148.4926470588235
2025-11-11,1629.T,entry,buy,1.3921113689095128,107750.0,150000.0,10.0,150.0
2025-11-11,1629.T,exit,sell,1.3921113689095128,106950.0,148886.3109048724,10.0,148.8863109048724
2025-11-11,1631.T,entry,buy,5.89622641509434,25440.0,150000.0,10.0,150.0
2025-11-11,1631.T,exit,sell,5.89622641509434,25100.0,147995.28301886792,10.0,147.99528301886792
