date,ticker,fill_type,side,qty,mid_price,assumed_price,cost_bps
2025-10-16,1617.T,open,BUY,3.767919282125971,39770.0,39809.77,10.0
2025-10-16,1617.T,close,SELL,3.767919282125971,39680.0,39640.32,10.0
2025-10-16,1621.T,open,BUY,5.524429487563129,27125.0,27152.124999999996,10.0
2025-10-16,1621.T,close,SELL,5.524429487563129,27370.0,27342.63,10.0
2025-10-16,1627.T,open,BUY,14.478275347840567,10350.0,10360.349999999999,10.0
2025-10-16,1627.T,close,SELL,14.478275347840567,10500.0,10489.5,10.0
2025-10-16,1630.T,open,BUY,4.301095001439434,34840.0,34874.84,10.0
2025-10-16,1630.T,close,SELL,4.301095001439434,34750.0,34715.25,10.0
2025-10-16,1633.T,open,BUY,3.1481123918098715,47600.0,47647.59999999999,10.0
2025-10-16,1633.T,close,SELL,3.1481123918098715,47700.0,47652.3,10.0
