source_name,status,completed_days,failed_days,shadow_order_count_total,intent_count_total,ack_count_total,reject_count_total,unmatched_shadow_order_count,unmatched_intent_count,missing_required_field_count,duplicate_intent_fingerprint_count,paper_or_live_mode_detected,real_broker_connection_detected,credential_like_value_detected,open_leg_only_submission_passed,close_leg_metadata_only_passed,fingerprint_determinism_passed,shadow_ops_dir,broker_dryrun_dir
legacy,PASS,60,0,300,300,300,0,0,0,0,0,False,False,False,True,True,True,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\artifacts\shadow_ops\shadow_ops_broker_dryrun_legacy_60d_local_20260420T221652Z,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\artifacts\shadow_ops\shadow_ops_broker_dryrun_legacy_60d_local_20260420T221652Z\stages\broker_dryrun
canonical,PASS,60,0,300,300,300,0,0,0,0,0,False,False,False,True,True,True,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\artifacts\shadow_ops\shadow_ops_broker_dryrun_canonical_60d_local_20260420T221708Z,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\artifacts\shadow_ops\shadow_ops_broker_dryrun_canonical_60d_local_20260420T221708Z\stages\broker_dryrun
