trade_date,ticker,leg,side,quantity,price,notional_jpy,cost_bps,cost_jpy
2025-09-29,1622.T,entry,buy,4.492362982929021,33390.0,150000.0,10.0,150.0
2025-09-29,1622.T,exit,sell,4.492362982929021,32670.0,146765.4986522911,10.0,146.76549865229111
2025-09-29,1625.T,entry,buy,3.4916201117318435,42960.0,150000.0,10.0,150.0
2025-09-29,1625.T,exit,sell,3.4916201117318435,42480.0,148324.0223463687,10.0,148.3240223463687
2025-09-29,1626.T,entry,buy,3.4098658786087745,43990.0,150000.0,10.0,150.0
2025-09-29,1626.T,exit,sell,3.4098658786087745,43180.0,147238.0086383269,10.0,147.2380086383269
2025-09-29,1629.T,entry,buy,1.4713094654242276,101950.0,150000.0,10.0,150.0
2025-09-29,1629.T,exit,sell,1.4713094654242276,102950.0,151471.30946542422,10.0,151.4713094654242
2025-09-29,1631.T,entry,buy,5.859375,25600.0,150000.0,10.0,150.0
2025-09-29,1631.T,exit,sell,5.859375,24955.0,146220.703125,10.0,146.220703125
