date,ticker,signal_raw,signal_rank,tradable_flag,paper_weight_raw,target_weight
2025-11-28,1617.T,-0.0011249386608542108,10.0,True,0.0,0.0
2025-11-28,1618.T,0.0016973611015411465,6.0,True,0.0,0.0
2025-11-28,1619.T,0.0049089885216839525,4.0,True,0.2,0.15
2025-11-28,1620.T,0.002281885954943074,5.0,True,0.2,0.15
2025-11-28,1621.T,-0.00441015899390724,13.0,True,-0.2,0.0
2025-11-28,1622.T,-0.0011819372005139116,11.0,True,0.0,0.0
2025-11-28,1623.T,-0.021401058179261054,17.0,True,-0.2,0.0
2025-11-28,1624.T,-0.005178151170080865,15.0,True,-0.2,0.0
2025-11-28,1625.T,-0.009686362965886893,16.0,True,-0.2,0.0
2025-11-28,1626.T,0.001601650302667784,8.0,True,0.0,0.0
2025-11-28,1627.T,0.0016354046775321903,7.0,True,0.0,0.0
2025-11-28,1628.T,0.012021540725031376,2.0,True,0.2,0.15
2025-11-28,1629.T,-0.0006698624611255108,9.0,True,0.0,0.0
2025-11-28,1630.T,0.016446028355720933,1.0,True,0.2,0.15
2025-11-28,1631.T,-0.004472924473542609,14.0,True,-0.2,0.0
2025-11-28,1632.T,-0.0031715502944068804,12.0,True,0.0,0.0
2025-11-28,1633.T,0.00856942786311463,3.0,True,0.2,0.15
