trade_date,ticker,target_weight,target_notional_jpy,side,entry_price,exit_price,expected_oc_return
2025-11-28,1619.T,0.15,150000.0,long,42390.0,42700.0,0.007313045529605988
2025-11-28,1620.T,0.15,150000.0,long,30700.0,30950.0,0.008143322475570036
2025-11-28,1628.T,0.15,150000.0,long,20780.0,20770.0,-0.0004812319538017862
2025-11-28,1630.T,0.15,150000.0,long,37880.0,37960.0,0.002111932418162654
2025-11-28,1633.T,0.15,150000.0,long,52210.0,52350.0,0.0026814786439379734
