trade_date,result,status,packet_dir,shadow_net_return,paper_counterfactual_return,expected_cost_bps,gross_exposure,net_exposure,max_name_abs,alert_count,warning_alert_count,critical_alert_count,info_alert_count,triggered_gate_count,critical_gate_count,alert_codes,week_start,iso_year,iso_week,week_label,active_return_diff,completed_flag,go_flag,warn_flag,stop_flag,error_flag
2025-08-27,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-08-27_20260420T123730Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-08-25,2025,35,2025-W35,,False,False,False,False,False
2025-08-28,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-08-28_20260420T123731Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-08-25,2025,35,2025-W35,,False,False,False,False,False
2025-08-29,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-08-29_20260420T123732Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-08-25,2025,35,2025-W35,,False,False,False,False,False
2025-09-02,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-02_20260420T123733Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-01,2025,36,2025-W36,,False,False,False,False,False
2025-09-03,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-03_20260420T123734Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-01,2025,36,2025-W36,,False,False,False,False,False
2025-09-04,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-04_20260420T123735Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-01,2025,36,2025-W36,,False,False,False,False,False
2025-09-05,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-05_20260420T123736Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-01,2025,36,2025-W36,,False,False,False,False,False
2025-09-08,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-08_20260420T123737Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-08,2025,37,2025-W37,,False,False,False,False,False
2025-09-09,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-09_20260420T123738Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-08,2025,37,2025-W37,,False,False,False,False,False
2025-09-10,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-10_20260420T123739Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-08,2025,37,2025-W37,,False,False,False,False,False
2025-09-11,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-11_20260420T123740Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-08,2025,37,2025-W37,,False,False,False,False,False
2025-09-12,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-12_20260420T123741Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-08,2025,37,2025-W37,,False,False,False,False,False
2025-09-16,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-16_20260420T123742Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-15,2025,38,2025-W38,,False,False,False,False,False
2025-09-17,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-17_20260420T123743Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-15,2025,38,2025-W38,,False,False,False,False,False
2025-09-18,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-18_20260420T123744Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-15,2025,38,2025-W38,,False,False,False,False,False
2025-09-19,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-19_20260420T123745Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-15,2025,38,2025-W38,,False,False,False,False,False
2025-09-22,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-22_20260420T123746Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-22,2025,39,2025-W39,,False,False,False,False,False
2025-09-24,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-24_20260420T123747Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-22,2025,39,2025-W39,,False,False,False,False,False
2025-09-25,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-25_20260420T123748Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-22,2025,39,2025-W39,,False,False,False,False,False
2025-09-26,skipped_existing,SKIPPED,runs\shadow_corrected_canonical_batch_60d_local_2025-09-26_20260420T123749Z,,,15.0,0.75,0.75,0.15,1,1,0,0,0,0,scaled_for_single_name_cap,2025-09-22,2025,39,2025-W39,,False,False,False,False,False
