trade_date,selection_reason,asof_us_date,status,selected_names_count,gross_exposure,expected_cost_bps,shadow_net_return,alert_count,triggered_gates_count,packet_path,stable_fingerprint,rerun_match,alert_codes,triggered_gate_codes,selection_rank,matched_categories,is_holiday_edge
2025-11-28,latest_valid,2025-11-26,GO,5,0.75,15.0,0.0014608559290252843,1,0,packets/2025-11-28,9c539882d6df383b77fc3ba29b13e4a0d1395223972def6a443c07dde7fcc6e1,True,scaled_for_single_name_cap,,1,latest_valid;nonzero_alert;scaling_or_cap_alert,False
2025-11-26,earlier_go,2025-11-25,GO,5,0.75,15.0,0.008860710119346686,1,0,packets/2025-11-26,4c3e2d19cad229ff0dfe1bccf440642c7ccf7ffdef30f348e6f5c5ae2976f82f,True,scaled_for_single_name_cap,,2,earlier_go,False
2025-11-25,holiday_edge,2025-11-21,GO,5,0.75,15.0,-0.011458226595115438,1,0,packets/2025-11-25,0c2b10fc917f835d459564d3c12a120b9d7a6dd8575460c320f544b1f3709505,True,scaled_for_single_name_cap,,3,holiday_edge,True
2025-08-27,fallback_evenly_spaced,2025-08-26,GO,5,0.75,15.0,-0.002737297121670887,1,0,packets/2025-08-27,e50dbcee0493766081f3bf3e3837e2c8aff15adaee9f53ec5b775333d1f98022,True,scaled_for_single_name_cap,,4,fallback_evenly_spaced,False
2025-09-03,fallback_evenly_spaced,2025-09-02,GO,5,0.75,15.0,-0.007469202148503183,1,0,packets/2025-09-03,c6fa6b090e66c568fd41583b80306d71d680211dfe3af362165818b51a089fc3,True,scaled_for_single_name_cap,,5,fallback_evenly_spaced,False
