trade_date,result,status,packet_dir,shadow_net_return,paper_counterfactual_return
2025-11-20,skipped_existing,SKIPPED,runs\shadow_corrected_batch_local_2025-11-20_20260417T133607Z,,
2025-11-21,skipped_existing,SKIPPED,runs\shadow_corrected_batch_local_2025-11-21_20260417T133610Z,,
2025-11-25,skipped_existing,SKIPPED,runs\shadow_corrected_batch_local_2025-11-25_20260417T133612Z,,
2025-11-26,skipped_existing,SKIPPED,runs\shadow_corrected_batch_local_2025-11-26_20260417T133614Z,,
2025-11-28,skipped_existing,SKIPPED,runs\shadow_corrected_batch_local_2025-11-28_20260417T133617Z,,
