broker_id,broker_mode,client_order_id,broker_order_id,ack_status,message,received_at,payload_checksum,diagnostics,metadata_json
null_broker_v1,DRY_RUN,DRYRUN-CLIENT-f788c25387cdfc8e,DRYRUN-ORDER-f788c25387cdfc8efea6,accepted_dryrun,Order accepted by NullBrokerAdapter dry-run path.,2026-04-20T14:51:50.822782+00:00,f788c25387cdfc8efea68c111455539f862965c163db07dd19bec7e71f61a881,no_network_requests;live_submission_disabled,"{""payload"": {""allow_live_submission"": false, ""broker_id"": ""null_broker_v1"", ""broker_mode"": ""DRY_RUN"", ""client_order_id"": ""DRYRUN-CLIENT-f788c25387cdfc8e"", ""limit_price"": null, ""market"": ""JP"", ""metadata"": {""close_price_adj"": 42700.0, ""close_side"": ""SELL"", ""intended_close_qty"": 3.535035382169141, ""open_price_adj"": 42390.0, ""target_weight"": 0.15}, ""notional_jpy"": 150000.0, ""order_type"": ""MARKET"", ""quantity"": 3.535035382169141, ""side"": ""BUY"", ""source_packet_path"": ""C:\\Users\\shiro\\OneDrive\\ドキュメント\\Spyder\\MISOCP\\investment\\runs\\shadow_corrected_local_2025-11-28_20260420T115921Z"", ""symbol"": ""1619.T"", ""tif"": ""DAY""}}"
null_broker_v1,DRY_RUN,DRYRUN-CLIENT-b16b87d5860e3111,DRYRUN-ORDER-b16b87d5860e3111d665,accepted_dryrun,Order accepted by NullBrokerAdapter dry-run path.,2026-04-20T14:51:50.822883+00:00,b16b87d5860e3111d665d38b903423fd7feedecb6dd03f059a01ee48f4182e15,no_network_requests;live_submission_disabled,"{""payload"": {""allow_live_submission"": false, ""broker_id"": ""null_broker_v1"", ""broker_mode"": ""DRY_RUN"", ""client_order_id"": ""DRYRUN-CLIENT-b16b87d5860e3111"", ""limit_price"": null, ""market"": ""JP"", ""metadata"": {""close_price_adj"": 30950.0, ""close_side"": ""SELL"", ""intended_close_qty"": 4.881112372969051, ""open_price_adj"": 30700.0, ""target_weight"": 0.15}, ""notional_jpy"": 150000.0, ""order_type"": ""MARKET"", ""quantity"": 4.881112372969051, ""side"": ""BUY"", ""source_packet_path"": ""C:\\Users\\shiro\\OneDrive\\ドキュメント\\Spyder\\MISOCP\\investment\\runs\\shadow_corrected_local_2025-11-28_20260420T115921Z"", ""symbol"": ""1620.T"", ""tif"": ""DAY""}}"
null_broker_v1,DRY_RUN,DRYRUN-CLIENT-daf62f51d851bd10,DRYRUN-ORDER-daf62f51d851bd10b2f9,accepted_dryrun,Order accepted by NullBrokerAdapter dry-run path.,2026-04-20T14:51:50.822957+00:00,daf62f51d851bd10b2f91a74fe9202ceda642ba73a4c1b5d923c9ca4f7d3d80a,no_network_requests;live_submission_disabled,"{""payload"": {""allow_live_submission"": false, ""broker_id"": ""null_broker_v1"", ""broker_mode"": ""DRY_RUN"", ""client_order_id"": ""DRYRUN-CLIENT-daf62f51d851bd10"", ""limit_price"": null, ""market"": ""JP"", ""metadata"": {""close_price_adj"": 20770.0, ""close_side"": ""SELL"", ""intended_close_qty"": 7.211268038987, ""open_price_adj"": 20780.0, ""target_weight"": 0.15}, ""notional_jpy"": 150000.0, ""order_type"": ""MARKET"", ""quantity"": 7.211268038987, ""side"": ""BUY"", ""source_packet_path"": ""C:\\Users\\shiro\\OneDrive\\ドキュメント\\Spyder\\MISOCP\\investment\\runs\\shadow_corrected_local_2025-11-28_20260420T115921Z"", ""symbol"": ""1628.T"", ""tif"": ""DAY""}}"
null_broker_v1,DRY_RUN,DRYRUN-CLIENT-bc107c6d7e9d80d5,DRYRUN-ORDER-bc107c6d7e9d80d5c707,accepted_dryrun,Order accepted by NullBrokerAdapter dry-run path.,2026-04-20T14:51:50.823023+00:00,bc107c6d7e9d80d5c7070a8a92658ba4245fcc8577a9713980e2c53af927beee,no_network_requests;live_submission_disabled,"{""payload"": {""allow_live_submission"": false, ""broker_id"": ""null_broker_v1"", ""broker_mode"": ""DRY_RUN"", ""client_order_id"": ""DRYRUN-CLIENT-bc107c6d7e9d80d5"", ""limit_price"": null, ""market"": ""JP"", ""metadata"": {""close_price_adj"": 37960.0, ""close_side"": ""SELL"", ""intended_close_qty"": 3.9559173666882224, ""open_price_adj"": 37880.0, ""target_weight"": 0.15}, ""notional_jpy"": 150000.0, ""order_type"": ""MARKET"", ""quantity"": 3.9559173666882224, ""side"": ""BUY"", ""source_packet_path"": ""C:\\Users\\shiro\\OneDrive\\ドキュメント\\Spyder\\MISOCP\\investment\\runs\\shadow_corrected_local_2025-11-28_20260420T115921Z"", ""symbol"": ""1630.T"", ""tif"": ""DAY""}}"
null_broker_v1,DRY_RUN,DRYRUN-CLIENT-9f49d7087925a133,DRYRUN-ORDER-9f49d7087925a1333991,accepted_dryrun,Order accepted by NullBrokerAdapter dry-run path.,2026-04-20T14:51:50.823088+00:00,9f49d7087925a1333991b903636effb89fa1f63f08cb521ceea9ac4c0b9c6d89,no_network_requests;live_submission_disabled,"{""payload"": {""allow_live_submission"": false, ""broker_id"": ""null_broker_v1"", ""broker_mode"": ""DRY_RUN"", ""client_order_id"": ""DRYRUN-CLIENT-9f49d7087925a133"", ""limit_price"": null, ""market"": ""JP"", ""metadata"": {""close_price_adj"": 52350.0, ""close_side"": ""SELL"", ""intended_close_qty"": 2.870142690100553, ""open_price_adj"": 52210.0, ""target_weight"": 0.15}, ""notional_jpy"": 150000.0, ""order_type"": ""MARKET"", ""quantity"": 2.870142690100553, ""side"": ""BUY"", ""source_packet_path"": ""C:\\Users\\shiro\\OneDrive\\ドキュメント\\Spyder\\MISOCP\\investment\\runs\\shadow_corrected_local_2025-11-28_20260420T115921Z"", ""symbol"": ""1633.T"", ""tif"": ""DAY""}}"
