trade_date,ticker,leg,side,quantity,price,notional_jpy,cost_bps,cost_jpy
2025-09-02,1618.T,entry,buy,6.2761506276150625,23900.0,150000.0,10.0,150.0
2025-09-02,1618.T,exit,sell,6.2761506276150625,24230.0,152071.12970711297,10.0,152.07112970711296
2025-09-02,1623.T,entry,buy,4.331504475887958,34630.0,150000.0,10.0,150.0
2025-09-02,1623.T,exit,sell,4.331504475887958,34820.0,150822.9858504187,10.0,150.82298585041872
2025-09-02,1625.T,entry,buy,3.746253746253746,40040.0,150000.0,10.0,150.0
2025-09-02,1625.T,exit,sell,3.746253746253746,39800.0,149100.89910089909,10.0,149.10089910089908
2025-09-02,1629.T,entry,buy,1.5625,96000.0,150000.0,10.0,150.0
2025-09-02,1629.T,exit,sell,1.5625,97880.0,152937.5,10.0,152.9375
2025-09-02,1631.T,entry,buy,6.217616580310881,24125.0,150000.0,10.0,150.0
2025-09-02,1631.T,exit,sell,6.217616580310881,24135.0,150062.1761658031,10.0,150.0621761658031
